capital;peopleCount;mu
0.0;101.0;-25.0
0.0;101.0;-24.0
0.0;101.0;-23.0
0.0;101.0;-22.0
0.0;101.0;-21.0
0.0;101.0;-20.0
0.0;101.0;-19.0
0.0;101.0;-18.0
0.0;101.0;-17.0
0.0;101.0;-16.0
0.0;101.0;-15.0
0.0;101.0;-14.0
0.0;101.0;-13.0
0.0;101.0;-12.0
0.0;101.0;-11.0
0.0;101.0;-10.0
0.0;101.0;-9.0
0.0;101.0;-8.0
0.0;101.0;-7.0
0.0;101.0;-6.0
0.0;101.0;-5.0
0.0;101.0;-4.0
0.0;101.0;-3.0
0.0;101.0;-2.0
0.0;101.0;-1.0
0.026435965808768874;100.0;0.0
1.0006612443562546;101.0;1.0
2.0031383237481117;101.0;2.0
2.9982160587983504;101.0;3.0
4.001542969071506;101.0;4.0
4.9956811678159365;101.0;5.0
5.998243280142345;101.0;6.0
7.0027854900527515;101.0;7.0
8.00046937891595;101.0;8.0
8.9985680918288;101.0;9.0
9.996873244928196;101.0;10.0
